,#,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
77,78,Egypt,"305,269",,"17,367",,"257,708",,"30,194",90,"2,915",166,"3,693,367","35,262","104,740,044"
78,79,Oman,"303,769",,"4,096",,"297,832",,"1,841",17,"57,660",777,"25,000,000","4,745,350","5,268,315"
79,80,Moldova,"296,672",+991,"6,829",+26,"280,291","+1,169","9,552",175,"73,758","1,698","1,801,979","448,003","4,022,244"
80,81,Slovenia,"295,328",+993,"4,569",+4,"278,372","+1,246","12,387",77,"142,033","2,197","1,589,338","764,364","2,079,295"
81,82,Bahrain,"275,130",,"1,389",,"273,082",,659,3,"154,995",782,"6,460,127","3,639,322","1,775,091"
82,83,Armenia,"263,783","+1,152","5,354",+15,"243,341",+772,"15,088",,"88,811","1,803","1,733,726","583,714","2,970,163"
83,84,Kenya,"249,725",,"5,128",,"241,828",,"2,769",61,"4,520",93,"2,562,723","46,387","55,246,733"
84,85,Qatar,"236,834",+99,606,,"235,014",+159,"1,214",13,"84,348",216,"2,676,496","953,234","2,807,805"
85,86,Bosnia and Herzegovina,"235,536",,"10,635",,"192,218",,"32,683",,"72,355","3,267","1,227,043","376,937","3,255,301"
86,87,Zambia,"209,142",+28,"3,649",,"205,172",+15,321,22,"10,993",192,"2,468,613","129,759","19,024,646"
87,88,Nigeria,"205,940",,"2,724",,"193,812",,"9,404",11,969,13,"3,043,321","14,321","212,501,032"
88,89,Algeria,"203,517",,"5,815",,"139,419",,"58,283",14,"4,539",130,"230,861","5,149","44,838,097"
89,90,North Macedonia,"191,820",,"6,683",,"173,048",,"12,089",,"92,077","3,208","1,292,895","620,609","2,083,267"
90,91,Norway,"190,122",+207,861,,"88,952",,"100,309",22,"34,731",157,"7,884,235","1,440,262","5,474,166"
91,92,Botswana,"179,220",,"2,368",,"174,549",,"2,303",1,"74,341",982,"1,754,359","727,710","2,410,793"
92,93,Kyrgyzstan,"178,680",+72,"2,607",,"173,385",+80,"2,688",131,"26,835",392,"1,737,541","260,954","6,658,406"
93,94,Uzbekistan,"174,879",+471,"1,245",+3,"169,866",+495,"3,768",23,"5,132",37,"1,377,915","40,439","34,074,203"
94,95,Albania,"171,327",+549,"2,710",+5,"159,439",+865,"9,178",3,"59,615",943,"1,211,134","421,430","2,873,870"
95,96,Latvia,"160,608","+1,190","2,731",+10,"146,979",+530,"10,898",62,"86,343","1,468","4,429,458","2,381,287","1,860,111"
96,97,Estonia,"157,728",+742,"1,360",+1,"145,542","+1,040","10,826",24,"118,802","1,024","1,931,191","1,454,593","1,327,650"
97,98,Afghanistan,"155,263",+24,"7,212",+1,"125,048",+27,"23,003","1,124","3,880",180,"761,248","19,022","40,020,361"
98,99,Mozambique,"150,759",,"1,918",,"147,281",,"1,560",32,"4,661",59,"907,502","28,057","32,345,121"
99,100,Finland,"142,114",,"1,062",,"46,000",,"95,052",24,"25,599",191,"7,096,234","1,278,261","5,551,475"
100,101,Montenegro,"132,360",+414,"1,932",+4,"123,970",+608,"6,458",,"210,709","3,076","741,066","1,179,731","628,165"
101,102,Zimbabwe,"131,028",,"4,624",,"123,398",,"3,006",12,"8,659",306,"1,406,722","92,959","15,132,783"
102,103,Namibia,"127,756",+76,"3,515",+1,"123,092",+88,"1,149",14,"49,170","1,353","707,489","272,293","2,598,265"
103,104,Ghana,"127,482",,"1,156",,"123,238",,"3,088",42,"3,999",36,"1,731,175","54,301","31,881,074"
104,105,Uganda,"123,857",+115,"3,159",,"96,129",+20,"24,569",276,"2,605",66,"1,692,121","35,596","47,537,495"
105,106,Cyprus,"118,421",,553,,"90,755",,"27,113",35,"97,199",454,"9,420,908","7,732,622","1,218,333"
